abject	abjectly
pejorative	pejoratively
pellucid	pellucidly
penal	penally
penetrating	penetratingly
penitent	penitently
penitential	penitentially
penitentiary	penitently
pensive	pensively
penurious	penuriously
perceptible	perceptibly
perceptive	perceptively
perceptual	perceptually
peremptory	peremptorily
perennial	perennially
perfect	perfectly
perfectible	perfectly
perfidious	perfidiously
perfunctory	perfunctorily
perilous	perilously
periodic	periodically
periodical	periodically
peripheral	peripherally
perky	perkily
permanent	permanently
permissible	permissibly
permissive	permissively
pernicious	perniciously
perpendicular	perpendicularly
perpetual	perpetually
perplexed	perplexedly
persevering	perseveringly
persistent	persistently
personal	personally
perspicuous	perspicuously
persuasive	persuasively
pert	pertly
pertinacious	pertinaciously
pertinent	pertinently
pervasive	pervasively
perverse	perversely
pessimistic	pessimistically
pettish	pettishly
petulant	petulantly
pharmacological	pharmacologically
phenomenal	phenomenally
philosophic	philosophically
philosophical	philosophically
physical	physically
picturesque	picturesquely
piercing	piercingly
pig-headed	pig-headedly
piggish	piggishly
pious	piously
piquant	piquantly
piratical	piratically
piteous	piteously
pithy	pithily
pitiable	pitiably
pitiful	pitifully
pitiless	pitilessly
pitying	pityingly
placid	placidly
plaguy	plaguily
plain	plainly
plaintive	plaintively
plausible	plausibly
playful	playfully
pleasant	pleasantly
pleasing	pleasingly
pleasurable	pleasurably
plenary	plenarily
plenteous	plenteously
plentiful	plentifully
pliant	pliantly
plodding	ploddingly
plucky	pluckily
poetical	poetically
poignant	poignantly
pointed	pointedly
pointless	pointlessly
poisonous	poisonously
polite	politely
political	politically
pompous	pompously
ponderous	ponderously
poor	poorly
popish	popishly
popular	popularly
portentous	portentously
positional	positionally
positive	positively
possessive	possessively
possible	possibly
posthumous	posthumously
potent	potently
potential	potentially
powerful	powerfully
powerless	powerlessly
practicable	practicably
practical	practically
pragmatic	pragmatically
praiseworthy	praiseworthily
pre-eminent	pre-eminently
precarious	precariously
precious	preciously
precipitate	precipitately
precipitous	precipitously
precise	precisely
precocious	precociously
predictable	predictably
predictive	predictively
predominant	predominantly
preferable	preferably
preferential	preferentially
premature	prematurely
preponderant	preponderantly
preposterous	preposterously
prescient	presciently
present	presently
present-day	presently
presentable	presentably
pressing	pressingly
presumable	presumably
presumed	presumably
presumptive	presumptively
presumptuous	presumptuously
pretentious	pretentiously
preternatural	preternaturally
pretty	prettily
previous	previously
priggish	priggishly
prim	primly
prima	primly
primal	primly
primary	primarily
prime	primly
primitive	primitively
principal	principally
private	privately
privy	privily
probable	probably
problematic	problematically
prodigal	prodigally
prodigious	prodigiously
productive	productively
profane	profanely
professed	professedly
professional	professionally
proficient	proficiently
profitable	profitably
profitless	profitlessly
profligate	profligately
profound	profoundly
profuse	profusely
progressive	progressively
prohibitive	prohibitively
prominent	prominently
promiscuous	promiscuously
promising	promisingly
prompt	promptly
proper	properly
propertied	properly
prophetical	prophetically
propitious	propitiously
proportional	proportionally
proportionate	proportionately
prosperous	prosperously
prosy	prosily
protective	protectively
proud	proudly
proverbial	proverbially
provident	providently
providential	providentially
provincial	provincially
provisional	provisionally
provocative	provocatively
provoking	provokingly
prudent	prudently
prudential	prudently
prudish	prudishly
prurient	pruriently
psychic	psychically
psychological	psychologically
public	publicly
puckish	puckishly
pugnacious	pugnaciously
punctilious	punctiliously
punctual	punctually
pungent	pungently
punitive	punitively
puny	punily
pure	purely
puritanical	puritanically
purported	purportedly
purposeful	purposefully
purposeless	purposelessly
quaint	quaintly
qualitative	qualitatively
quantitative	quantitatively
quarterly	quarterly
queasy	queasily
queer	queerly
querulous	querulously
questionable	questionably
quick	quickly
quickset	quickly
quiescent	quiescently
quiet	quietly
quizzical	quizzically
racial	racially
radial	radially
radiant	radiantly
radical	radically
raffish	raffishly
ragged	raggedly
rakish	rakishly
rambunctious	rambunctiously
rampant	rampantly
random	randomly
rank	rankly
rapacious	rapaciously
rapid	rapidly
rapturous	rapturously
rare	rarely
rash	rashly
rational	rationally
rationalistic	rationally
raucous	raucously
ravenous	ravenously
ready	readily
real	really
realistic	realistically
reasonable	reasonably
reasoned	rationally
reassuring	reassuringly
rebellious	rebelliously
recent	recently
receptive	receptively
reciprocal	reciprocally
reckless	recklessly
recognizable	recognizably
recurrent	recurrently
reflective	reflectively
reflex	reflexively
refreshing	refreshingly
regal	regally
regional	regionally
regretful	regretfully
regrettable	regrettably
regular	regularly
relative	relatively
relentless	relentlessly
relevant	relevantly
reliable	reliably
religious	religiously
reluctant	reluctantly
remarkable	remarkably
reminiscent	reminiscently
remorseful	remorsefully
remorseless	remorselessly
remote	remotely
repeated	repeatedly
repentant	repentantly
repetitive	repetitively
reprehensible	reprehensibly
representative	representatively
repressive	repressively
reproachful	reproachfully
repulsive	repulsively
reputable	reputably
reputed	reputedly
resentful	resentfully
reserved	reservedly
resigned	resignedly
resolute	resolutely
resourceful	resourcefully
respectable	respectably
respectful	respectfully
respective	respectively
resplendent	resplendently
responsible	responsibly
restful	restfully
restive	restively
restless	restlessly
restricted	little
restrictive	restrictively
retentive	retentively
reticent	reticently
retroactive	retroactively
retrospective	retrospectively
revengeful	revengefully
reverent	reverently
reverential	reverentially
reverse	reversely
revolting	revoltingly
rhetorical	rhetorically
rhythmical	rhythmically
rich	richly
ridiculous	ridiculously
right	rightly
righteous	righteously
rightful	rightfully
rightist	rightly
rightwing	rightly
rigid	rigidly
rigorous	rigorously
riotous	riotously
ripe	ripely
risk	riskily
risky	riskily
robust	robustly
roguish	roguishly
romantic	romantically
roomed	roomily
roomy	roomily
root	mainly
rotational	rotationally
rotten	rottenly
rotund	rotundly
rough	roughly
roughish	roughly
roughshod	roughly
round	roundly
round-arm	roundly
round-the-clock	round-the-clock
roundish	roundly
routine	routinely
rowdy	rowdily
royal	royally
rude	rudely
rueful	ruefully
rugged	ruggedly
ruinous	ruinously
ruthless	ruthlessly
sacred	sacredly
sad	sadly
safe	safely
sagacious	sagaciously
sage	sagely
salacious	salaciously
same	similarly
sanctimonious	sanctimoniously
sane	sanely
sapient	sapiently
sardonic	sardonically
satirical	satirically
satisfactory	satisfactorily
satisfying	satisfyingly
saucy	saucily
savage	savagely
scandalous	scandalously
scanty	scantily
scarce	scarcely
scathing	scathingly
sceptical	sceptically
scientific	scientifically
scornful	scornfully
scrappy	scrappily
scrupulous	scrupulously
scurrilous	scurrilously
scurvy	scurvily
searching	searchingly
seasonal	seasonally
secondary	secondarily
secret	secretly
secretive	secretively
secure	securely
sedate	sedately
seductive	seductively
sedulous	sedulously
seedy	seedily
seeming	seemingly
selective	selectively
self-conscious	self-consciously
self-righteous	self-righteously
selfish	selfishly
semiannual	SEMIANNUALLY
sensational	sensationally
senseless	senselessly
sensible	sensibly
sensitive	sensitively
sensuous	sensuously
sententious	sententiously
sentimental	sentimentally
separable	separably
separate	separately
sequential	sequentially
serene	serenely
serial	serially
serious	seriously
servile	servilely
severe	severely
sexual	sexually
shabby	shabbily
shaggy	shaggily
shaky	shakily
shamefaced	shamefacedly
shameful	shamefully
shameless	shamelessly
shapeless	shapelessly
sharp	sharply
sharp-set	sharply
sheepish	sheepishly
shifty	shiftily
shocking	shockingly
short	shortly
shortish	shortly
showery	showily
showy	showily
shrewd	shrewdly
shrewish	shrewishly
shrill	shrilly
shy	shyly
sickening	sickeningly
sideways	sideways
signal	signally
significant	significantly
silent	silently
silken	silkily
silky	silkily
similar	similarly
simple	simply
simultaneous	simultaneously
sincere	sincerely
single	singly
single-handed	single-handedly
singular	singularly
sixfold	sixfold
skeptical	skeptically
sketchy	sketchily
skilful	skilfully
skillful	skillfully
skimpy	skimpily
skittish	skittishly
slack	slackly
slangy	slangily
slavish	slavishly
sleek	sleekly
sleepless	sleeplessly
sleepy	sleepily
slender	slenderly
slight	slightly
slim	slimly
slimy	slimly
sloppy	sloppily
slow	slowly
sluggish	sluggishly
sly	slyly
small	small
smart	smartly
smooth	smoothly
smug	smugly
smutty	smuttily
snappish	snappishly
sneaking	sneakingly
sneaky	sneakily
snobbish	snobbishly
snooty	snootily
snug	snugly
so-so	so-so
sober	soberly
sociable	sociably
social	socially
socialist	socially
socioeconomic	socioeconomically
sociological	sociologically
soft	softly
softish	softly
sole	solely
soled	solely
solemn	solemnly
solicitous	solicitously
solid	solidly
solitary	solitarily
sombre	sombrely
sometime	sometime
somnolent	somnolently
sonorous	sonorously
sordid	sordidly
sore	sorely
sorrowful	sorrowfully
sottish	sottishly
soulful	soulfully
soulless	soullessly
sound	soundly
soundless	soundlessly
sour	sourly
spacious	spaciously
spare	sparely
sparing	sparingly
sparse	sparsely
spatial	spatially
special	specially
specific	specifically
specious	speciously
spectacular	spectacularly
speculative	speculatively
speechless	speechlessly
speedy	speedily
spicy	spicily
spiral	spirally
spiritual	spiritually
spiritualistic	spiritually
spiteful	spitefully
splendid	splendidly
spontaneous	spontaneously
sporadic	sporadically
sporting	sportingly
sportive	sportively
spotless	spotlessly
spruce	sprucely
spurious	spuriously
squalid	squalidly
square	squarely
squeamish	squeamishly
stable	stably
staggering	staggeringly
stagy	stagily
staid	staidly
standoffish	standoffishly
stark	starkly
starkers	starkly
statewide	statewide
statistical	statistically
statutory	statutorily
staunch	staunchly
steadfast	steadfastly
steady	steadily
stealthy	stealthily
steep	steeply
steepish	steeply
stern	sternly
stertorous	stertorously
sticky	stickily
stiff	stiffly
stilted	stiltedly
stingy	stingily
stirring	stirringly
stocky	stockily
stoical	stoically
stolid	stolidly
stoned	stonily
stony	stonily
stormy	stormily
stout	stoutly
straightforward	straightforwardly
strange	strangely
strategic	strategically
strategical	strategically
strenuous	strenuously
strict	strictly
strident	stridently
striking	strikingly
stringent	stringently
strong	strongly
strong-arm	strongly
structural	structurally
stubborn	stubbornly
studious	studiously
stuffy	stuffily
stunning	stunningly
stupendous	stupendously
stupid	stupidly
sturdy	sturdily
style	stylishly
stylish	stylishly
stylistic	stylistically
suave	suavely
subconscious	subconsciously
subjective	subjectively
sublime	sublimely
subliminal	subliminally
submissive	submissively
subsequent	subsequently
subservient	subserviently
substandard	substandardly
substantial	substantially
substantive	substantively
subtle	subtly
successful	successfully
successive	successively
succinct	succinctly
sudden	suddenly
sufficient	sufficiently
suggestive	suggestively
suitable	suitably
sulky	sulkily
sullen	sullenly
sultry	sultrily
summary	summarily
sumptuous	sumptuously
sunny	sunnily
superb	superbly
supercilious	superciliously
superficial	superficially
superfluous	superfluously
supernatural	supernaturally
superstitious	superstitiously
supine	supinely
supposed	supposedly
supreme	supremely
sure	surely
surgical	surgically
surly	surlily
surpassing	surpassingly
surprised	surprisedly
surprising	surprisingly
surreptitious	surreptitiously
suspicious	suspiciously
sweeping	sweepingly
sweet	sweetly
sweetish	sweetly
swift	swiftly
symbiotic	symbiotically
symbolic	symbolically
symbolical	symbolically
symmetrical	symmetrically
sympathetic	sympathetically
synchronous	synchronously
systematic	systematically
tacit	tacitly
taciturn	taciturnly
tactful	tactfully
tactical	tactically
tactless	tactlessly
tame	tamely
tangential	tangentially
tangible	tangibly
tardy	tardily
tart	tartly
tasteful	tastefully
tasteless	tastelessly
tasty	tastily
tatty	tattily
taut	tautly
tawdry	tawdrily
tearful	tearfully
technical	technically
technological	technologically
tedious	tediously
telling	tellingly
temperamental	temperamentally
temperate	temperately
temporary	temporarily
tenacious	tenaciously
tendentious	tendentiously
tender	tenderly
tense	tensely
tentative	tentatively
tenuous	tenuously
tepid	tepidly
terminal	terminally
terrible	terribly
terrific	terrifically
terse	tersely
testy	testily
tetchy	tetchily
thankful	thankfully
theatrical	theatrically
theological	theologically
theoretical	theoretically
therapeutic	therapeutically
thermal	thermally
thick	thickly
thick-set	thickly
thievish	thievishly
thin	thinly
thine	thinly
thirsty	thirstily
thorough	thoroughly
thoroughbred	thoroughly
thoroughgoing	thoroughly
thoughtful	thoughtfully
thoughtless	thoughtlessly
thriftless	thriftlessly
thrifty	thriftily
tidy	tidily
tight	tightly
timely	timely
timid	timidly
timorous	timorously
tireless	tirelessly
tiresome	tiresomely
tolerable	tolerably
tolerant	tolerantly
toneless	tonelessly
tongue-in-cheek	tongue-in-cheek
topical	topically
topographical	topographically
topping	toppingly
torpid	torpidly
tortuous	tortuously
total	totally
touching	touchingly
tough	toughly
traditional	traditionally
tragic	tragically
traitorous	traitorously
tranquil	tranquilly
transcendental	transcendentally
transient	transiently
transitional	transitionally
transitive	transitively
transparent	transparently
transverse	transversely
treacherous	treacherously
treasonable	treasonably
tremendous	tremendously
tremulous	tremulously
trenchant	trenchantly
trim	trimly
tripping	trippingly
trite	tritely
triumphant	triumphantly
trivial	trivially
tropical	tropically
truculent	truculently
true	truly
trustful	trustfully
trusting	trustingly
tumultuous	tumultuously
tuneful	tunefully
turbulent	turbulently
turgid	turgidly
tutorial	tutorially
typical	typically
typographical	typographically
ultimate	ultimately
ultrasonic	ultrasonically
unacceptable	unacceptably
unaccountable	unaccountably
unadvised	unadvisedly
unalterable	unalterably
unambiguous	unambiguously
unanimous	unanimously
unarguable	unarguably
unashamed	unashamedly
unassailable	unassailably
unassuming	unassumingly
unattainable	unattainably
unattractive	unattractively
unavoidable	unavoidably
unbearable	unbearably
unbecoming	unbecomingly
unbelievable	unbelievably
unbelieving	unbelievingly
unblushing	unblushingly
uncanny	uncannily
unceasing	unceasingly
unceremonious	unceremoniously
uncertain	uncertainly
uncomfortable	uncomfortably
uncommon	uncommonly
uncomplaining	uncomplainingly
unconcerned	unconcernedly
unconditional	unconditionally
unconscious	unconsciously
unconstitutional	unconstitutionally
uncontrollable	uncontrollably
uncouth	uncouthly
uncritical	uncritically
unctuous	unctuously
undeniable	undeniably
underground	underground
underlying	underlyingly
understandable	understandably
understated	understatedly
undesirable	undesirably
undisputed	undisputedly
undoubted	undoubtedly
undue	unduly
uneasy	uneasily
unemotional	unemotionally
unending	unendingly
unenthusiastic	unenthusiastically
unequal	unequally
unequalled	unequally
unequivocal	unequivocally
unerring	unerringly
unethical	unethically
uneven	unevenly
uneventful	uneventfully
unexpected	unexpectedly
unfailing	unfailingly
unfair	unfairly
unfaithful	unfaithfully
unfaltering	unfalteringly
unfashionable	unfashionably
unfavorable	unfavorably
unfavourable	unfavourably
unfeeling	unfeelingly
unfeigned	unfeignedly
unforgettable	unforgettably
unforgivable	unforgivably
unfortunate	unfortunately
ungracious	ungraciously
ungrammatical	ungrammatically
ungrateful	ungratefully
ungrudging	ungrudgingly
unhappy	unhappily
unhelpful	unhelpfully
unhesitating	unhesitatingly
unhurried	unhurriedly
uniform	uniformly
uniformed	uniformly
unilateral	unilaterally
unimaginable	unimaginably
unimaginative	unimaginatively
unimpressive	unimpressively
unintelligent	unintelligently
unintelligible	unintelligibly
unintentional	unintentionally
uninteresting	uninterestingly
uninterrupted	uninterruptedly
unique	uniquely
united	unitedly
universal	universally
unjust	unjustly
unjustifiable	unjustifiably
unjustified	unjustifiably
unkind	unkindly
unknowing	unknowingly
unlawful	unlawfully
unlucky	unluckily
unmanageable	unmanageably
unmemorable	unmemorably
unmerciful	unmercifully
unmistakable	unmistakably
unmusical	unmusically
unnatural	unnaturally
unnecessary	unnecessarily
unobtrusive	unobtrusively
unofficial	unofficially
unpalatable	unpalatably
unpardonable	unpardonably
unpleasant	unpleasantly
unprecedented	unprecedentedly
unpredictable	unpredictably
unproductive	unproductively
unprofitable	unprofitably
unquestionable	unquestionably
unrealistic	unrealistically
unreasonable	unreasonably
unrecognizable	unrecognizably
unreliable	unreliably
unremarkable	unremarkably
unreserved	unreservedly
unrighteous	unrighteously
unsafe	unsafely
unsatisfactory	unsatisfactorily
unscientific	unscientifically
unscrupulous	unscrupulously
unseasonable	unseasonably
unselfconscious	unselfconsciously
unselfish	unselfishly
unsentimental	unsentimentally
unshakable	unshakably
unsociable	unsociably
unsparing	unsparingly
unspeakable	unspeakably
unsporting	unsportingly
unsteady	unsteadily
unstoppable	unstoppably
unsuccessful	unsuccessfully
unsuitable	unsuitably
unsuspecting	unsuspectingly
unswerving	unswervingly
unthinking	unthinkingly
untidy	untidily
untrue	untruly
untruthful	untruthfully
untypical	untypically
unusual	unusually
unutterable	unutterably
unwary	unwarily
unwavering	unwaveringly
unwilling	unwillingly
unwise	unwisely
unwitting	unwittingly
unwonted	unwontedly
unworthy	unworthily
uphill	uphill
uppish	uppishly
upright	uprightly
uproarious	uproariously
upward	upward
urbane	urbanely
urgent	urgently
useful	usefully
useless	uselessly
usual	usually
utter	utterly
uttermost	utterly
uxorious	uxoriously
vacant	vacantly
vacuous	vacuously
vague	vaguely
vain	vainly
valiant	valiantly
valid	validly
vapid	vapidly
variable	variably
varied	variably
various	variously
vast	vastly
vehement	vehemently
venal	venally
venomous	venomously
veracious	veraciously
verbal	verbally
verbatim	verbatim
verbose	verbosely
vertical	vertically
vicarious	vicariously
vicious	viciously
victorious	victoriously
vigilant	vigilantly
vigorous	vigorously
vile	vilely
vindictive	vindictively
violent	violently
virtual	virtually
virtuous	virtuously
virulent	virulently
visible	visibly
visual	visually
vital	vitally
vitriolic	vitriolically
vivacious	vivaciously
vivid	vividly
vocal	vocally
vociferous	vociferously
voluble	volubly
voluntary	voluntarily
voluptuous	voluptuously
voracious	voraciously
vulgar	vulgarly
vulnerable	vulnerably
waggish	waggishly
wan	wanly
wanton	wantonly
warm	warmly
wary	warily
wasteful	wastefully
watchful	watchfully
wayward	wayward
weak	weakly
weakly	weakly
wealthy	wealthily
wearing	wearily
wearisome	wearily
weekly	weekly
weighty	weightily
weird	weirdly
well	well
wheezy	wheezily
whimsical	whimsically
whole	wholly
wholehearted	wholeheartedly
wholesale	wholesale
wholesome	wholesomely
wicked	wickedly
wide	widely
wild	wildly
wilful	wilfully
willful	willfully
willing	willingly
windy	windily
winsome	winsomely
wise	wisely
wishful	wishfully
wistful	wistfully
witty	wittily
woeful	woefully
wonderful	wonderfully
wordy	wordily
worrying	worryingly
worthless	worthlessly
worthy	worthily
wrathful	wrathfully
wretched	wretchedly
wrong	wrongly
wrong-headed	wrong-headedly
wrongful	wrongfully
wry	wryly
yearly	yearly
yielding	yieldingly
youthful	youthfully
zealous	zealously
zestful	zestfully
